response_id	topic	clean_paragraph_hits	hit_count	alignment_classes	sample_excerpts
EDITOR_AI	AI disclosure	120,121	2	REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED	Declaration of generative AI and AI-assisted technologies in the manuscript preparation process || During preparation and revision of this manuscript, the author used ChatGPT, an AI-assisted tool provided by OpenAI, ...
EDITOR_CODE	Public code availability	115	1	REVISION_ADDITION_CANDIDATE	Analysis scripts, decision logs, quality gates, source-data tables, manuscript-facing figures and supplementary outpu...
RR05	Second external cohort GSE72810	14,16,23,27,28,35,36,37,42,46,75,76,79,80,82,85,90,95,97,99,103,113,119,136,146	25	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|MODIFIED_CANDIDATE|MODIFIED_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 ... || Here, GSE211567 was used to discover bacterial- and viral-associated host-response programmes while requiring cross-s... || This study used a staged design that kept discovery separate from external testing. GSE211567 was used for discovery,...
RR06	Biological curation and GO rationale	14,31,56,138,139	5	REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|MODIFIED_CANDIDATE|MODIFIED_CANDIDATE	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || Differential-expression results were treated as a discovery-ranking layer rather than a diagnostic signature [15]. Po... || Directionally eligible features were mapped to genes and assessed using Gene Ontology biological-process enrichment. ... || [16] Ashburner M, Ball CA, Blake JA, Botstein D, Butler H, Cherry JM, et al. Gene Ontology: tool for the unification ...
RR07	GSVA sensitivity analysis	14,16,18,43,91,97,103,104,147	9	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 ... || The predefined host-response modules retained their expected directions across two external cohorts measured on diffe... || A GSVA sensitivity analysis was performed in GSE73461 using the unchanged module gene sets and both z-reference popul...
RR08	Effect sizes and confidence intervals	14,16,40,43,77,79,81,83,86,87,90,95,98,103,146,147	16	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 ... || Wilcoxon rank-sum tests compared bacterial and viral module scores, with Benjamini-Hochberg correction across the fiv... || A GSVA sensitivity analysis was performed in GSE73461 using the unchanged module gene sets and both z-reference popul...
RR09	Leave-one/two-gene robustness	14,16,92,93,97,103,104,148	8	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 ... || Exhaustive deletion analysis supports distributed module signal || The leave-one/two-gene analysis evaluated 29,826 module variants across the two GSE73461 scoring populations (S1 Fig,...
RR10	Cohort/sample description	27,33,58,82,85	5	MODIFIED_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE	This study used a staged design that kept discovery separate from external testing. GSE211567 was used for discovery,... || GSE73461 expression, annotation, metadata and group labels were audited independently of module discovery [13]. The c... || The primary GSE73461 contrast contained 52 DefiniteBacterial and 94 DefiniteViral samples. All modules passed the pre... || Positive estimates indicate higher module scores in bacterial samples, whereas negative estimates indicate higher sco...
RR11	Control and z-reference logic	14,16,33,36,39,42,43,59,71,90,91,97,102,104,146,147	16	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE|NEAR_UNCHANGED	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were ... || All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 ... || GSE73461 expression, annotation, metadata and group labels were audited independently of module discovery [13]. The c... || GSE72810 contained 146 paediatric whole-blood samples measured using the Illumina HumanHT-12 v3 platform [14]. All 14...
RR13	Directional concordance definition	30,53	2	REVISION_ADDITION_CANDIDATE|REVISION_ADDITION_CANDIDATE	GSE211567 provided the discovery dataset and contained whole-blood transcriptomic samples from Sri Lanka and the Unit... || (B) Cross-site concordance of the GSE211567 bacterial-versus-viral discovery contrast. Spearman correlations summaris...
